top_depth_m,bottom_depth_m,mid_depth_m,vp_mps,vs_mps,vp_source,vs_source
200.0,300.0,250.0,2888.870297812783,1958.5499581318993,vti_fallback,vti_fallback
300.0,400.0,350.0,3340.9962038210383,2207.7471767712186,vti_fallback,vti_fallback
400.0,500.0,450.0,3916.356221198849,2502.722048771993,vti_fallback,vti_fallback
500.0,600.0,550.0,4187.971691547054,2616.345960163625,vti_fallback,vti_fallback
600.0,700.0,650.0,4220.424811617361,2621.385423065631,vti_fallback,vti_fallback
700.0,800.0,750.0,4310.774453542736,2643.9551280595037,vti_fallback,vti_fallback
800.0,900.0,850.0,4497.026373863159,2701.911194422367,vti_fallback,vti_fallback
900.0,1000.0,950.0,4587.564863979225,2724.635976700697,vti_fallback,vti_fallback
1000.0,1100.0,1050.0,4574.115065151069,2718.1359473087377,vti_fallback,vti_fallback
1100.0,1200.0,1150.0,3640.373050523212,2027.0505682388095,log,log
1200.0,1300.0,1250.0,5519.472873326276,3135.491780803457,log,log
1300.0,1400.0,1350.0,5785.947354540345,3208.3016978611035,log,log
1400.0,1500.0,1450.0,5818.361858917803,3258.1730289374955,log,log
1500.0,1600.0,1550.0,5283.645210503943,3153.271236418219,log,log
1600.0,1700.0,1650.0,4911.125180282119,2936.57669834447,log,log
1700.0,1800.0,1750.0,5013.556049777367,2929.3830479315666,log,log
1800.0,1900.0,1850.0,4982.952499957819,2946.576343772337,log,log
1900.0,2000.0,1950.0,5022.8167788845085,2953.3152960058005,log,log
